textId,text
1021426,Complete the story mission A Simple Negotiation in Living World Icebrood Saga Episode 4.
1021428,Defeat Primordus and Jormag %num2% time[s] in the Dragonstorm encounter.
1021095,Second Response: Brisban Wildlands
1021040,Completed the Brisban Wildlands Dragon Response Mission %num1%/%num2% Times
1021345,Adventurous Spirit: Sandswept Isles
1021851,Sandswept Isles Adventure Completed
1021081,Revenge of the Claw of Jormag
1020967,Sieged the Frost Citadel
1021814,Participate in a successful siege of the Frost Citadel.
1021882,Ore Miner: Bjora Marches
1021769,Completed Flight of the Eagle Spirit
1021030,Mine ore %num2% times in Drizzlewood Coast.
1021043,Harvest plants %num2% times in Forging Steel.
1021132,Completed Tracking the Scientist
1021751,Complete the story mission Tracking the Scientist in Living World Season 4 Episode 2.
1021146,Crop Harvester: Domain of Istan
1021946,Harvested Plants %num1%/%num2% Times in the Domain of Istan
1021128,Harvest plants %num2% times in the Domain of Istan.
1021021,Return to Eye of the Brandstorm
1021110,Completed Eye of the Brandstorm
1021510,Practiced Seeker
1021304,Found the Hiding Charr Cub
1021208,Play a game of hide-and-seek with the charr cub in the Blood Keep...and win.
1021170,Treasure Hunter: Thunderhead Peaks
1021223,Open %num2% dwarven chests within Thunderhead Peaks.
1021892,Completed Deeper and Deeper
1021678,Return to Dragonfall
1021314,Completed %num1%/%num2% War Eternal Achievements
1021824,Adventurous Spirit: Arena of the Wolverine
1021286,Completed Arena of the Wolverine
1021424,Complete the Arena of the Wolverine adventure in Northern Drizzlewood Coast.
1021230,Killed %num1%/%num2% Champions in Dragonfall
1021311,Defeat %num2% champion-level creatures in Dragonfall.
1021012,Completed %num1%/%num2% Events in Drizzlewood Coast
1021075,Complete %num2% events in Drizzlewood Coast.
1021434,Puzzle Resolver
1021734,Completed %num1%/%num2% Puzzles in Bjora Marches
1021768,Complete %num2% puzzle[s] in Bjora Marches.
1021084,Return to Turnabout
1021839,Completed Forearmed Is Forewarned
1021480,Return to the Domain of Kourna
1021233,Completed %num1%/%num2% Return to Long Live the Lich Achievements
1021698,Complete %num2% Return to Long Live the Lich achievements.
1021198,Adventurous Spirit: Thunderhead Peaks
1021645,Crop Harvester: Jahai Bluffs
1021711,Harvested Plants %num1%/%num2% Times in Jahai Bluffs
1021336,Harvest plants %num2% times in Jahai Bluffs.
1021535,%num1%/%num2% Events Completed in the Domain of Istan
1020958,Cleansed Doomlore Shrine
1021868,Revenge at Wolf's Crossing
1021643,Return to Thunderhead Peaks
1021875,Completed %num1%/%num2% All or Nothing Achievements
1021523,Return to Bjora Marches 2
1021691,Bounty Hunter: Domain of Kourna
1020950,Complete bounties within the Domain of Kourna.
1021287,"Complete the story mission Fahranur, the First City in Living World Season 4 Episode 1."
